id,saleprice
2658,128767.0280443877
2718,150837.83625357808
2414,225074.67870818824
1989,122165.77618722129
625,203854.00308185746
333,67427.63410782162
1327,106062.80785326823
858,129454.83404297917
95,171103.474771905
1568,177567.79959086096
2482,151799.26739555714
1364,129288.09683796996
2584,151381.41266762302
818,284562.8804005189
2673,177659.98376057926
2089,142329.68529151008
1297,142731.2202381133
790,120563.8142655855
2616,232093.6315452978
720,191046.78268318158
222,152086.3894690061
557,123555.13479834679
1148,188430.82688332093
2766,164808.7594813651
534,188045.14349317993
1452,106656.01699477085
630,123624.16082966165
2648,126759.71026675776
125,156078.65198995965
1904,36883.25351595343
1670,92322.38750636065
756,85574.95975919277
717,235685.93689657096
1032,149171.409729528
852,229617.545635883
1731,198285.79971885332
2639,116209.61461305106
2071,83787.82213039254
1267,121127.78920330107
1851,191415.84351708228
567,143959.46407693787
2439,224625.2186696839
1898,162943.72533945832
647,194079.01524097007
2256,223508.15900706383
979,82931.45459150407
1444,229242.30546620046
2485,128613.38183307764
157,145125.2863059747
88,124743.27297376748
2003,106976.34066352644
186,219209.80426124856
1425,257281.55231895298
2695,125326.00544005516
738,108705.40390849672
395,170891.63905928843
1353,179883.8879228558
1878,158803.48519920604
390,179758.58724722918
1456,240079.28239562688
1103,301299.08493776945
1387,104774.16829055804
2070,164855.6337052593
1199,182026.60979115334
2479,175433.96284635854
501,309619.30247318116
2362,73119.51907642046
1718,195069.9701824661
2188,60944.61345876544
1483,156382.0991518097
2557,81822.24518714263
437,308119.5271184363
2224,212448.9034553999
1628,192987.46985002817
397,140449.32409905223
587,204709.05991154048
971,174828.11057230667
2611,147631.0558203212
1887,94654.89775483799
2399,329944.6475758909
2148,210048.434171424
304,140665.59232177236
1997,116019.82905824413
2817,122212.90508640627
1431,205863.07262989762
427,292251.8716826367
263,126472.20467106579
598,179092.41593158944
2895,264859.42033908656
687,156147.2449541788
1822,138456.7312355335
2191,101937.6982673828
179,137508.21254980564
1009,209727.6193022104
2010,129731.7716136945
1991,143987.03561168583
1411,207994.71041771676
1721,227607.422062858
1144,200380.50777494605
593,233897.76685066568
575,291817.3351063528
1249,191453.88639744488
1604,131892.02152327844
1064,420338.3321061083
